text,base,type,case,number,gender,tense,voice,person
а,а,conjunction,,,,,,
активну,активний,adjective,accusative,singular,feminine,,,
але,але,conjunction,,,,,,
Ангелу,ангел,noun,dative,singular,masculine,,,
Ангелу,Ангела,noun,accusative,singular,feminine,,,
атаку,атака,noun,accusative,singular,feminine,,,
без,без,preposition,,,,,,
біля,біля,preposition,,,,,,
бойових,бойовий,adjective,accusative,plural,feminine,,,
бойових,бойовий,adjective,accusative,plural,masculine,,,
бойових,бойовий,adjective,accusative,plural,neuter,,,
бойових,бойовий,adjective,genitive,plural,feminine,,,
бойових,бойовий,adjective,genitive,plural,masculine,,,
бойових,бойовий,adjective,genitive,plural,neuter,,,
бойових,бойовий,adjective,locative,plural,feminine,,,
бойових,бойовий,adjective,locative,plural,masculine,,,
бойових,бойовий,adjective,locative,plural,neuter,,,
буде,бути,verb,,singular,feminine,future,active,third
буде,бути,verb,,singular,masculine,future,active,third
буде,бути,verb,,singular,neuter,future,active,third
в,в,preposition,,,,,,
В,в,preposition,,,,,,
в’язнів,в’язень,noun,accusative,plural,masculine,,,
в’язнів,в’язень,noun,genitive,plural,masculine,,,
важливо,важливо,adverb,,,,,,
весь,весь,pronoun,dative,singular,masculine,,,
весь,весь,pronoun,locative,singular,masculine,,,
від,від,preposition,,,,,,
відміняв,відміняти,verb,,singular,masculine,past,active,third
відновлення,відновлення,noun,accusative,singular,neuter,,,
відновлення,відновлення,noun,genitive,singular,neuter,,,
відновлення,відновлення,noun,nominative,singular,neuter,,,
відповіді,відповідь,noun,accusative,plural,feminine,,,
відповіді,відповідь,noun,dative,singular,feminine,,,
відповіді,відповідь,noun,genitive,singular,feminine,,,
відповіді,відповідь,noun,nominative,plural,feminine,,,
відповіді,відповідь,noun,vocative,plural,feminine,,,
військових,військовий,adjective,genitive,plural,masculine,,,
Володимира,Володимир,noun,accusative,singular,masculine,,,
Володимира,Володимир,noun,genitive,singular,masculine,,,
восени,восени,adverb,,,,,,
все,весь,pronoun,dative,singular,neuter,,,
все,весь,pronoun,locative,singular,neuter,,,	
всієї,весь,pronoun,genitive,singular,feminine,,,
всією,весь,pronoun,instrumental,singular,feminine,,,
всій,весь,pronoun,dative,singular,feminine,,,
всій,весь,pronoun,locative,singular,feminine,,,
всім,весь,pronoun,instrumental,singular,masculine,,,
всім,весь,pronoun,instrumental,singular,neuter,,,
всім,весь,pronoun,locative,singular,masculine,,,
всім,весь,pronoun,locative,singular,neuter,,,
всього,весь,pronoun,dative,singular,masculine,,,
всього,весь,pronoun,genitive,singular,masculine,,,
всього,весь,pronoun,genitive,singular,neuter,,,	
всьому,весь,pronoun,dative,singular,masculine,,,
всьому,весь,pronoun,dative,singular,neuter,,,
всьому,весь,pronoun,locative,singular,masculine,,,
всьому,весь,pronoun,locative,singular,neuter,,,
всю,весь,pronoun,dative,singular,feminine,,,
вся,весь,pronoun,locative,singular,feminine,,,
героїв,герой,noun,accusative,plural,masculine,,,
героїв,герой,noun,genitive,plural,masculine,,,
гранатомета,гранатомет,noun,genitive,singular,masculine,,,
дій,дія,noun,genitive,plural,feminine,,,
для,для,preposition,,,,,,
днів,день,noun,genitive,plural,masculine,,,
до,до,preposition,,,,,,
добиватися,добиватися,verb,,singular,neuter,infinitive,active,third
Добрий,добрий,adjective,nominative,singular,masculine,,,
долучитися,долучитися,verb,,singular,neuter,infinitive,active,third
Донбасу,Донбас,noun,dative,singular,masculine,,,
Донбасу,Донбас,noun,genitive,singular,masculine,,,
Еммануеля,Еммануель,noun,accusative,singular,masculine,,,
Еммануеля,Еммануель,noun,genitive,singular,masculine,,,
єдиною,єдиний,adjective,instrumental,singular,feminine,,,
жодну,жоден,adjective,accusative,singular,feminine,,,
з,з,preposition,,,,,,
за,за,preposition,,,,,,
За,за,preposition,,,,,,
загиблих,загиблий,adjective,accusative,plural,feminine,,,
загиблих,загиблий,adjective,accusative,plural,masculine,,,
загиблих,загиблий,adjective,accusative,plural,neuter,,,
загиблих,загиблий,adjective,genitive,plural,feminine,,,
загиблих,загиблий,adjective,genitive,plural,masculine,,,
загиблих,загиблий,adjective,genitive,plural,neuter,,,
загинули,загинути,verb,,plural,masculine,pluperfect,active,third
закінченням,закінчення,noun,dative,plural,neuter,,,
